reader_bucket,n_users,mean_of_means,median_of_means,std_of_means
non-readers (1–2),8.0,9.277115639511747,8.4325,4.26617716793072
readers (4–5),6.0,15.000871813371814,10.766233766233766,11.25313904943362
sometimes (3),6.0,11.031660414213606,10.188333333333333,7.176917951889141
